,STFIPS,CTFIPS,COUNTY,ST,STATE
1370,27,115,Pine,MN,Minnesota
1371,27,117,Pipestone,MN,Minnesota
1372,27,119,Polk,MN,Minnesota
1373,27,121,Pope,MN,Minnesota
1374,27,123,Ramsey,MN,Minnesota
1375,27,125,Red Lake,MN,Minnesota
1376,27,127,Redwood,MN,Minnesota
1377,27,129,Renville,MN,Minnesota
1378,27,131,Rice,MN,Minnesota
1379,27,133,Rock,MN,Minnesota
1380,27,135,Roseau,MN,Minnesota
1381,27,137,St. Louis,MN,Minnesota
1382,27,139,Scott,MN,Minnesota
1383,27,141,Sherburne,MN,Minnesota
1384,27,143,Sibley,MN,Minnesota
1385,27,145,Stearns,MN,Minnesota
1386,27,147,Steele,MN,Minnesota
1387,27,149,Stevens,MN,Minnesota
1388,27,151,Swift,MN,Minnesota
1389,27,153,Todd,MN,Minnesota
1390,27,155,Traverse,MN,Minnesota
1391,27,157,Wabasha,MN,Minnesota
1392,27,159,Wadena,MN,Minnesota
1393,27,161,Waseca,MN,Minnesota
1394,27,163,Washington,MN,Minnesota
1395,27,165,Watonwan,MN,Minnesota
1396,27,167,Wilkin,MN,Minnesota
1397,27,169,Winona,MN,Minnesota
1398,27,171,Wright,MN,Minnesota
1399,27,173,Yellow Medicine,MN,Minnesota
1400,28,1,Adams,MS,Mississippi
1401,28,3,Alcorn,MS,Mississippi
1402,28,5,Amite,MS,Mississippi
1403,28,7,Attala,MS,Mississippi
1404,28,9,Benton,MS,Mississippi
1405,28,11,Bolivar,MS,Mississippi
1406,28,13,Calhoun,MS,Mississippi
1407,28,15,Carroll,MS,Mississippi
1408,28,17,Chickasaw,MS,Mississippi
1409,28,19,Choctaw,MS,Mississippi
1410,28,21,Claiborne,MS,Mississippi
1411,28,23,Clarke,MS,Mississippi
1412,28,25,Clay,MS,Mississippi
1413,28,27,Coahoma,MS,Mississippi
1414,28,29,Copiah,MS,Mississippi
1415,28,31,Covington,MS,Mississippi
1416,28,33,DeSoto,MS,Mississippi
1417,28,35,Forrest,MS,Mississippi
1418,28,37,Franklin,MS,Mississippi
1419,28,39,George,MS,Mississippi
1420,28,41,Greene,MS,Mississippi
1421,28,43,Grenada,MS,Mississippi
1422,28,45,Hancock,MS,Mississippi
1423,28,47,Harrison,MS,Mississippi
1424,28,49,Hinds,MS,Mississippi
1425,28,51,Holmes,MS,Mississippi
1426,28,53,Humphreys,MS,Mississippi
1427,28,55,Issaquena,MS,Mississippi
1428,28,57,Itawamba,MS,Mississippi
1429,28,59,Jackson,MS,Mississippi
1430,28,61,Jasper,MS,Mississippi
1431,28,63,Jefferson,MS,Mississippi
1432,28,65,Jefferson Davis,MS,Mississippi
1433,28,67,Jones,MS,Mississippi
1434,28,69,Kemper,MS,Mississippi
1435,28,71,Lafayette,MS,Mississippi
1436,28,73,Lamar,MS,Mississippi
1437,28,75,Lauderdale,MS,Mississippi
1438,28,77,Lawrence,MS,Mississippi
1439,28,79,Leake,MS,Mississippi
1440,28,81,Lee,MS,Mississippi
1441,28,83,Leflore,MS,Mississippi
1442,28,85,Lincoln,MS,Mississippi
1443,28,87,Lowndes,MS,Mississippi
1444,28,89,Madison,MS,Mississippi
1445,28,91,Marion,MS,Mississippi
1446,28,93,Marshall,MS,Mississippi
1447,28,95,Monroe,MS,Mississippi
1448,28,97,Montgomery,MS,Mississippi
1449,28,99,Neshoba,MS,Mississippi
1450,28,101,Newton,MS,Mississippi
1451,28,103,Noxubee,MS,Mississippi
1452,28,105,Oktibbeha,MS,Mississippi
1453,28,107,Panola,MS,Mississippi
1454,28,109,Pearl River,MS,Mississippi
1455,28,111,Perry,MS,Mississippi
1456,28,113,Pike,MS,Mississippi
1457,28,115,Pontotoc,MS,Mississippi
1458,28,117,Prentiss,MS,Mississippi
1459,28,119,Quitman,MS,Mississippi
1460,28,121,Rankin,MS,Mississippi
1461,28,123,Scott,MS,Mississippi
1462,28,125,Sharkey,MS,Mississippi
1463,28,127,Simpson,MS,Mississippi
1464,28,129,Smith,MS,Mississippi
1465,28,131,Stone,MS,Mississippi
1466,28,133,Sunflower,MS,Mississippi
1467,28,135,Tallahatchie,MS,Mississippi
1468,28,137,Tate,MS,Mississippi
1469,28,139,Tippah,MS,Mississippi
1470,28,141,Tishomingo,MS,Mississippi
1471,28,143,Tunica,MS,Mississippi
1472,28,145,Union,MS,Mississippi
1473,28,147,Walthall,MS,Mississippi
1474,28,149,Warren,MS,Mississippi
1475,28,151,Washington,MS,Mississippi
1476,28,153,Wayne,MS,Mississippi
1477,28,155,Webster,MS,Mississippi
1478,28,157,Wilkinson,MS,Mississippi
1479,28,159,Winston,MS,Mississippi
1480,28,161,Yalobusha,MS,Mississippi
1481,28,163,Yazoo,MS,Mississippi
1482,29,1,Adair,MO,Missouri
1483,29,3,Andrew,MO,Missouri
1484,29,5,Atchison,MO,Missouri
1485,29,7,Audrain,MO,Missouri
1486,29,9,Barry,MO,Missouri
1487,29,11,Barton,MO,Missouri
1488,29,13,Bates,MO,Missouri
1489,29,15,Benton,MO,Missouri
1490,29,17,Bollinger,MO,Missouri
1491,29,19,Boone,MO,Missouri
1492,29,21,Buchanan,MO,Missouri
1493,29,23,Butler,MO,Missouri
1494,29,25,Caldwell,MO,Missouri
1495,29,27,Callaway,MO,Missouri
1496,29,29,Camden,MO,Missouri
1497,29,31,Cape Girardeau,MO,Missouri
1498,29,33,Carroll,MO,Missouri
1499,29,35,Carter,MO,Missouri
1500,29,37,Cass,MO,Missouri
1501,29,39,Cedar,MO,Missouri
1502,29,41,Chariton,MO,Missouri
1503,29,43,Christian,MO,Missouri
1504,29,45,Clark,MO,Missouri
1505,29,47,Clay,MO,Missouri
1506,29,49,Clinton,MO,Missouri
1507,29,51,Cole,MO,Missouri
1508,29,53,Cooper,MO,Missouri
1509,29,55,Crawford,MO,Missouri
1510,29,57,Dade,MO,Missouri
1511,29,59,Dallas,MO,Missouri
1512,29,61,Daviess,MO,Missouri
1513,29,63,DeKalb,MO,Missouri
1514,29,65,Dent,MO,Missouri
1515,29,67,Douglas,MO,Missouri
1516,29,69,Dunklin,MO,Missouri
1517,29,71,Franklin,MO,Missouri
1518,29,73,Gasconade,MO,Missouri
1519,29,75,Gentry,MO,Missouri
1520,29,77,Greene,MO,Missouri
1521,29,79,Grundy,MO,Missouri
1522,29,81,Harrison,MO,Missouri
1523,29,83,Henry,MO,Missouri
1524,29,85,Hickory,MO,Missouri
1525,29,87,Holt,MO,Missouri
1526,29,89,Howard,MO,Missouri
1527,29,91,Howell,MO,Missouri
1528,29,93,Iron,MO,Missouri
1529,29,95,Jackson,MO,Missouri
1530,29,97,Jasper,MO,Missouri
1531,29,99,Jefferson,MO,Missouri
1532,29,101,Johnson,MO,Missouri
1533,29,103,Knox,MO,Missouri
1534,29,105,Laclede,MO,Missouri
1535,29,107,Lafayette,MO,Missouri
1536,29,109,Lawrence,MO,Missouri
1537,29,111,Lewis,MO,Missouri
1538,29,113,Lincoln,MO,Missouri
1539,29,115,Linn,MO,Missouri
1540,29,117,Livingston,MO,Missouri
1541,29,119,McDonald,MO,Missouri
1542,29,121,Macon,MO,Missouri
1543,29,123,Madison,MO,Missouri
1544,29,125,Maries,MO,Missouri
1545,29,127,Marion,MO,Missouri
1546,29,129,Mercer,MO,Missouri
1547,29,131,Miller,MO,Missouri
1548,29,133,Mississippi,MO,Missouri
1549,29,135,Moniteau,MO,Missouri
1550,29,137,Monroe,MO,Missouri
1551,29,139,Montgomery,MO,Missouri
1552,29,141,Morgan,MO,Missouri
1553,29,143,New Madrid,MO,Missouri
1554,29,145,Newton,MO,Missouri
1555,29,147,Nodaway,MO,Missouri
1556,29,149,Oregon,MO,Missouri
1557,29,151,Osage,MO,Missouri
1558,29,153,Ozark,MO,Missouri
1559,29,155,Pemiscot,MO,Missouri
1560,29,157,Perry,MO,Missouri
1561,29,159,Pettis,MO,Missouri
1562,29,161,Phelps,MO,Missouri
1563,29,163,Pike,MO,Missouri
1564,29,165,Platte,MO,Missouri
1565,29,167,Polk,MO,Missouri
1566,29,169,Pulaski,MO,Missouri
1567,29,171,Putnam,MO,Missouri
1568,29,173,Ralls,MO,Missouri
1569,29,175,Randolph,MO,Missouri
1570,29,177,Ray,MO,Missouri
1571,29,179,Reynolds,MO,Missouri
1572,29,181,Ripley,MO,Missouri
1573,29,183,St. Charles,MO,Missouri
1574,29,185,St. Clair,MO,Missouri
1575,29,186,Ste. Genevieve,MO,Missouri
1576,29,187,St. Francois,MO,Missouri
1577,29,189,St. Louis,MO,Missouri
1578,29,195,Saline,MO,Missouri
1579,29,197,Schuyler,MO,Missouri
1580,29,199,Scotland,MO,Missouri
1581,29,201,Scott,MO,Missouri
1582,29,203,Shannon,MO,Missouri
1583,29,205,Shelby,MO,Missouri
1584,29,207,Stoddard,MO,Missouri
1585,29,209,Stone,MO,Missouri
1586,29,211,Sullivan,MO,Missouri
1587,29,213,Taney,MO,Missouri
1588,29,215,Texas,MO,Missouri
1589,29,217,Vernon,MO,Missouri
1590,29,219,Warren,MO,Missouri
1591,29,221,Washington,MO,Missouri
1592,29,223,Wayne,MO,Missouri
1593,29,225,Webster,MO,Missouri
1594,29,227,Worth,MO,Missouri
1595,29,229,Wright,MO,Missouri
1596,29,510,St. Louis (city),MO,Missouri
1597,30,1,Beaverhead,MT,Montana
1598,30,3,Big Horn,MT,Montana
1599,30,5,Blaine,MT,Montana
1600,30,7,Broadwater,MT,Montana
1601,30,9,Carbon,MT,Montana
1602,30,11,Carter,MT,Montana
1603,30,13,Cascade,MT,Montana
1604,30,15,Chouteau,MT,Montana
1605,30,17,Custer,MT,Montana
1606,30,19,Daniels,MT,Montana
1607,30,21,Dawson,MT,Montana
1608,30,23,Deer Lodge,MT,Montana
1609,30,25,Fallon,MT,Montana
1610,30,27,Fergus,MT,Montana
1611,30,29,Flathead,MT,Montana
1612,30,31,Gallatin,MT,Montana
1613,30,33,Garfield,MT,Montana
1614,30,35,Glacier,MT,Montana
1615,30,37,Golden Valley,MT,Montana
1616,30,39,Granite,MT,Montana
1617,30,41,Hill,MT,Montana
1618,30,43,Jefferson,MT,Montana
1619,30,45,Judith Basin,MT,Montana
1620,30,47,Lake,MT,Montana
1621,30,49,Lewis and Clark,MT,Montana
1622,30,51,Liberty,MT,Montana
1623,30,53,Lincoln,MT,Montana
1624,30,55,McCone,MT,Montana
1625,30,57,Madison,MT,Montana
1626,30,59,Meagher,MT,Montana
1627,30,61,Mineral,MT,Montana
1628,30,63,Missoula,MT,Montana
1629,30,65,Musselshell,MT,Montana
1630,30,67,Park,MT,Montana
1631,30,69,Petroleum,MT,Montana
1632,30,71,Phillips,MT,Montana
1633,30,73,Pondera,MT,Montana
1634,30,75,Powder River,MT,Montana
1635,30,77,Powell,MT,Montana
1636,30,79,Prairie,MT,Montana
1637,30,81,Ravalli,MT,Montana
1638,30,83,Richland,MT,Montana
1639,30,85,Roosevelt,MT,Montana
1640,30,87,Rosebud,MT,Montana
1641,30,89,Sanders,MT,Montana
1642,30,91,Sheridan,MT,Montana
1643,30,93,Silver Bow,MT,Montana
1644,30,95,Stillwater,MT,Montana
1645,30,97,Sweet Grass,MT,Montana
1646,30,99,Teton,MT,Montana
1647,30,101,Toole,MT,Montana
1648,30,103,Treasure,MT,Montana
1649,30,105,Valley,MT,Montana
1650,30,107,Wheatland,MT,Montana
1651,30,109,Wibaux,MT,Montana
1652,30,111,Yellowstone,MT,Montana
1653,31,1,Adams,NE,Nebraska
1654,31,3,Antelope,NE,Nebraska
1655,31,5,Arthur,NE,Nebraska
1656,31,7,Banner,NE,Nebraska
1657,31,9,Blaine,NE,Nebraska
1658,31,11,Boone,NE,Nebraska
1659,31,13,Box Butte,NE,Nebraska
1660,31,15,Boyd,NE,Nebraska
1661,31,17,Brown,NE,Nebraska
1662,31,19,Buffalo,NE,Nebraska
1663,31,21,Burt,NE,Nebraska
1664,31,23,Butler,NE,Nebraska
1665,31,25,Cass,NE,Nebraska
1666,31,27,Cedar,NE,Nebraska
1667,31,29,Chase,NE,Nebraska
1668,31,31,Cherry,NE,Nebraska
1669,31,33,Cheyenne,NE,Nebraska
1670,31,35,Clay,NE,Nebraska
1671,31,37,Colfax,NE,Nebraska
1672,31,39,Cuming,NE,Nebraska
1673,31,41,Custer,NE,Nebraska
1674,31,43,Dakota,NE,Nebraska
1675,31,45,Dawes,NE,Nebraska
1676,31,47,Dawson,NE,Nebraska
1677,31,49,Deuel,NE,Nebraska
1678,31,51,Dixon,NE,Nebraska
1679,31,53,Dodge,NE,Nebraska
1680,31,55,Douglas,NE,Nebraska
1681,31,57,Dundy,NE,Nebraska
1682,31,59,Fillmore,NE,Nebraska
1683,31,61,Franklin,NE,Nebraska
1684,31,63,Frontier,NE,Nebraska
1685,31,65,Furnas,NE,Nebraska
1686,31,67,Gage,NE,Nebraska
1687,31,69,Garden,NE,Nebraska
1688,31,71,Garfield,NE,Nebraska
1689,31,73,Gosper,NE,Nebraska
1690,31,75,Grant,NE,Nebraska
1691,31,77,Greeley,NE,Nebraska
1692,31,79,Hall,NE,Nebraska
1693,31,81,Hamilton,NE,Nebraska
1694,31,83,Harlan,NE,Nebraska
1695,31,85,Hayes,NE,Nebraska
1696,31,87,Hitchcock,NE,Nebraska
1697,31,89,Holt,NE,Nebraska
1698,31,91,Hooker,NE,Nebraska
1699,31,93,Howard,NE,Nebraska
1700,31,95,Jefferson,NE,Nebraska
1701,31,97,Johnson,NE,Nebraska
1702,31,99,Kearney,NE,Nebraska
1703,31,101,Keith,NE,Nebraska
1704,31,103,Keya Paha,NE,Nebraska
1705,31,105,Kimball,NE,Nebraska
1706,31,107,Knox,NE,Nebraska
1707,31,109,Lancaster,NE,Nebraska
1708,31,111,Lincoln,NE,Nebraska
1709,31,113,Logan,NE,Nebraska
1710,31,115,Loup,NE,Nebraska
1711,31,117,McPherson,NE,Nebraska
1712,31,119,Madison,NE,Nebraska
1713,31,121,Merrick,NE,Nebraska
1714,31,123,Morrill,NE,Nebraska
1715,31,125,Nance,NE,Nebraska
1716,31,127,Nemaha,NE,Nebraska
1717,31,129,Nuckolls,NE,Nebraska
1718,31,131,Otoe,NE,Nebraska
1719,31,133,Pawnee,NE,Nebraska
1720,31,135,Perkins,NE,Nebraska
1721,31,137,Phelps,NE,Nebraska
1722,31,139,Pierce,NE,Nebraska
1723,31,141,Platte,NE,Nebraska
1724,31,143,Polk,NE,Nebraska
1725,31,145,Red Willow,NE,Nebraska
1726,31,147,Richardson,NE,Nebraska
1727,31,149,Rock,NE,Nebraska
1728,31,151,Saline,NE,Nebraska
1729,31,153,Sarpy,NE,Nebraska
1730,31,155,Saunders,NE,Nebraska
1731,31,157,Scotts Bluff,NE,Nebraska
1732,31,159,Seward,NE,Nebraska
1733,31,161,Sheridan,NE,Nebraska
1734,31,163,Sherman,NE,Nebraska
1735,31,165,Sioux,NE,Nebraska
1736,31,167,Stanton,NE,Nebraska
1737,31,169,Thayer,NE,Nebraska
1738,31,171,Thomas,NE,Nebraska
1739,31,173,Thurston,NE,Nebraska
1740,31,175,Valley,NE,Nebraska
1741,31,177,Washington,NE,Nebraska
1742,31,179,Wayne,NE,Nebraska
1743,31,181,Webster,NE,Nebraska
1744,31,183,Wheeler,NE,Nebraska
1745,31,185,York,NE,Nebraska
1746,32,1,Churchill,NV,Nevada
1747,32,3,Clark,NV,Nevada
1748,32,5,Douglas,NV,Nevada
1749,32,7,Elko,NV,Nevada
1750,32,9,Esmeralda,NV,Nevada
1751,32,11,Eureka,NV,Nevada
1752,32,13,Humboldt,NV,Nevada
1753,32,15,Lander,NV,Nevada
1754,32,17,Lincoln,NV,Nevada
1755,32,19,Lyon,NV,Nevada
1756,32,21,Mineral,NV,Nevada
1757,32,23,Nye,NV,Nevada
1758,32,27,Pershing,NV,Nevada
1759,32,29,Storey,NV,Nevada
1760,32,31,Washoe,NV,Nevada
1761,32,33,White Pine,NV,Nevada
1762,32,510,Carson (city),NV,Nevada
1763,33,1,Belknap,NH,New Hampshire
1764,33,3,Carroll,NH,New Hampshire
1765,33,5,Cheshire,NH,New Hampshire
1766,33,7,Coos,NH,New Hampshire
1767,33,9,Grafton,NH,New Hampshire
1768,33,11,Hillsborough,NH,New Hampshire
1769,33,13,Merrimack,NH,New Hampshire
1770,33,15,Rockingham,NH,New Hampshire
1771,33,17,Strafford,NH,New Hampshire
1772,33,19,Sullivan,NH,New Hampshire
1773,34,1,Atlantic,NJ,New Jersey
1774,34,3,Bergen,NJ,New Jersey
1775,34,5,Burlington,NJ,New Jersey
1776,34,7,Camden,NJ,New Jersey
1777,34,9,Cape May,NJ,New Jersey
1778,34,11,Cumberland,NJ,New Jersey
1779,34,13,Essex,NJ,New Jersey
1780,34,15,Gloucester,NJ,New Jersey
1781,34,17,Hudson,NJ,New Jersey
1782,34,19,Hunterdon,NJ,New Jersey
1783,34,21,Mercer,NJ,New Jersey
1784,34,23,Middlesex,NJ,New Jersey
1785,34,25,Monmouth,NJ,New Jersey
1786,34,27,Morris,NJ,New Jersey
1787,34,29,Ocean,NJ,New Jersey
1788,34,31,Passaic,NJ,New Jersey
1789,34,33,Salem,NJ,New Jersey
1790,34,35,Somerset,NJ,New Jersey
1791,34,37,Sussex,NJ,New Jersey
1792,34,39,Union,NJ,New Jersey
1793,34,41,Warren,NJ,New Jersey
1794,35,1,Bernalillo,NM,New Mexico
1795,35,3,Catron,NM,New Mexico
1796,35,5,Chaves,NM,New Mexico
1797,35,6,Cibola,NM,New Mexico
1798,35,7,Colfax,NM,New Mexico
1799,35,9,Curry,NM,New Mexico
1800,35,11,DeBaca,NM,New Mexico
1801,35,13,Dona Ana,NM,New Mexico
1802,35,15,Eddy,NM,New Mexico
1803,35,17,Grant,NM,New Mexico
1804,35,19,Guadalupe,NM,New Mexico
1805,35,21,Harding,NM,New Mexico
1806,35,23,Hidalgo,NM,New Mexico
1807,35,25,Lea,NM,New Mexico
1808,35,27,Lincoln,NM,New Mexico
1809,35,28,Los Alamos,NM,New Mexico
1810,35,29,Luna,NM,New Mexico
1811,35,31,McKinley,NM,New Mexico
1812,35,33,Mora,NM,New Mexico
1813,35,35,Otero,NM,New Mexico
1814,35,37,Quay,NM,New Mexico
1815,35,39,Rio Arriba,NM,New Mexico
1816,35,41,Roosevelt,NM,New Mexico
1817,35,43,Sandoval,NM,New Mexico
1818,35,45,San Juan,NM,New Mexico
1819,35,47,San Miguel,NM,New Mexico
1820,35,49,Santa Fe,NM,New Mexico
1821,35,51,Sierra,NM,New Mexico
1822,35,53,Socorro,NM,New Mexico
1823,35,55,Taos,NM,New Mexico
1824,35,57,Torrance,NM,New Mexico
1825,35,59,Union,NM,New Mexico
1826,35,61,Valencia,NM,New Mexico
1827,36,1,Albany,NY,New York
1828,36,3,Allegany,NY,New York
1829,36,5,Bronx,NY,New York
1830,36,7,Broome,NY,New York
1831,36,9,Cattaraugus,NY,New York
1832,36,11,Cayuga,NY,New York
1833,36,13,Chautauqua,NY,New York
1834,36,15,Chemung,NY,New York
1835,36,17,Chenango,NY,New York
1836,36,19,Clinton,NY,New York
1837,36,21,Columbia,NY,New York
1838,36,23,Cortland,NY,New York
1839,36,25,Delaware,NY,New York
1840,36,27,Dutchess,NY,New York
1841,36,29,Erie,NY,New York
1842,36,31,Essex,NY,New York
1843,36,33,Franklin,NY,New York
1844,36,35,Fulton,NY,New York
1845,36,37,Genesee,NY,New York
1846,36,39,Greene,NY,New York
1847,36,41,Hamilton,NY,New York
1848,36,43,Herkimer,NY,New York
1849,36,45,Jefferson,NY,New York
1850,36,47,Kings,NY,New York
1851,36,49,Lewis,NY,New York
1852,36,51,Livingston,NY,New York
1853,36,53,Madison,NY,New York
1854,36,55,Monroe,NY,New York
1855,36,57,Montgomery,NY,New York
1856,36,59,Nassau,NY,New York
1857,36,61,New York,NY,New York
1858,36,63,Niagara,NY,New York
1859,36,65,Oneida,NY,New York
1860,36,67,Onondaga,NY,New York
1861,36,69,Ontario,NY,New York
1862,36,71,Orange,NY,New York
1863,36,73,Orleans,NY,New York
1864,36,75,Oswego,NY,New York
1865,36,77,Otsego,NY,New York
1866,36,79,Putnam,NY,New York
1867,36,81,Queens,NY,New York
1868,36,83,Rensselaer,NY,New York
1869,36,85,Richmond,NY,New York
1870,36,87,Rockland,NY,New York
1871,36,89,St. Lawrence,NY,New York
1872,36,91,Saratoga,NY,New York
1873,36,93,Schenectady,NY,New York
1874,36,95,Schoharie,NY,New York
1875,36,97,Schuyler,NY,New York
1876,36,99,Seneca,NY,New York
1877,36,101,Steuben,NY,New York
1878,36,103,Suffolk,NY,New York
1879,36,105,Sullivan,NY,New York
1880,36,107,Tioga,NY,New York
1881,36,109,Tompkins,NY,New York
1882,36,111,Ulster,NY,New York
1883,36,113,Warren,NY,New York
1884,36,115,Washington,NY,New York
1885,36,117,Wayne,NY,New York
1886,36,119,Westchester,NY,New York
1887,36,121,Wyoming,NY,New York
1888,36,123,Yates,NY,New York
1889,37,1,Alamance,NC,North Carolina
1890,37,3,Alexander,NC,North Carolina
1891,37,5,Alleghany,NC,North Carolina
1892,37,7,Anson,NC,North Carolina
1893,37,9,Ashe,NC,North Carolina
1894,37,11,Avery,NC,North Carolina
1895,37,13,Beaufort,NC,North Carolina
1896,37,15,Bertie,NC,North Carolina
1897,37,17,Bladen,NC,North Carolina
1898,37,19,Brunswick,NC,North Carolina
1899,37,21,Buncombe,NC,North Carolina
1900,37,23,Burke,NC,North Carolina
1901,37,25,Cabarrus,NC,North Carolina
1902,37,27,Caldwell,NC,North Carolina
1903,37,29,Camden,NC,North Carolina
1904,37,31,Carteret,NC,North Carolina
1905,37,33,Caswell,NC,North Carolina
1906,37,35,Catawba,NC,North Carolina
1907,37,37,Chatham,NC,North Carolina
1908,37,39,Cherokee,NC,North Carolina
1909,37,41,Chowan,NC,North Carolina
1910,37,43,Clay,NC,North Carolina
1911,37,45,Cleveland,NC,North Carolina
1912,37,47,Columbus,NC,North Carolina
1913,37,49,Craven,NC,North Carolina
1914,37,51,Cumberland,NC,North Carolina
1915,37,53,Currituck,NC,North Carolina
1916,37,55,Dare,NC,North Carolina
1917,37,57,Davidson,NC,North Carolina
1918,37,59,Davie,NC,North Carolina
1919,37,61,Duplin,NC,North Carolina
1920,37,63,Durham,NC,North Carolina
1921,37,65,Edgecombe,NC,North Carolina
1922,37,67,Forsyth,NC,North Carolina
1923,37,69,Franklin,NC,North Carolina
1924,37,71,Gaston,NC,North Carolina
1925,37,73,Gates,NC,North Carolina
1926,37,75,Graham,NC,North Carolina
1927,37,77,Granville,NC,North Carolina
1928,37,79,Greene,NC,North Carolina
1929,37,81,Guilford,NC,North Carolina
1930,37,83,Halifax,NC,North Carolina
1931,37,85,Harnett,NC,North Carolina
1932,37,87,Haywood,NC,North Carolina
1933,37,89,Henderson,NC,North Carolina
1934,37,91,Hertford,NC,North Carolina
1935,37,93,Hoke,NC,North Carolina
1936,37,95,Hyde,NC,North Carolina
1937,37,97,Iredell,NC,North Carolina
1938,37,99,Jackson,NC,North Carolina
1939,37,101,Johnston,NC,North Carolina
1940,37,103,Jones,NC,North Carolina
1941,37,105,Lee,NC,North Carolina
1942,37,107,Lenoir,NC,North Carolina
1943,37,109,Lincoln,NC,North Carolina
1944,37,111,McDowell,NC,North Carolina
1945,37,113,Macon,NC,North Carolina
1946,37,115,Madison,NC,North Carolina
1947,37,117,Martin,NC,North Carolina
1948,37,119,Mecklenburg,NC,North Carolina
1949,37,121,Mitchell,NC,North Carolina
1950,37,123,Montgomery,NC,North Carolina
1951,37,125,Moore,NC,North Carolina
1952,37,127,Nash,NC,North Carolina
1953,37,129,New Hanover,NC,North Carolina
1954,37,131,Northampton,NC,North Carolina
1955,37,133,Onslow,NC,North Carolina
1956,37,135,Orange,NC,North Carolina
1957,37,137,Pamlico,NC,North Carolina
1958,37,139,Pasquotank,NC,North Carolina
1959,37,141,Pender,NC,North Carolina
1960,37,143,Perquimans,NC,North Carolina
1961,37,145,Person,NC,North Carolina
1962,37,147,Pitt,NC,North Carolina
1963,37,149,Polk,NC,North Carolina
1964,37,151,Randolph,NC,North Carolina
1965,37,153,Richmond,NC,North Carolina
1966,37,155,Robeson,NC,North Carolina
1967,37,157,Rockingham,NC,North Carolina
1968,37,159,Rowan,NC,North Carolina
1969,37,161,Rutherford,NC,North Carolina
1970,37,163,Sampson,NC,North Carolina
1971,37,165,Scotland,NC,North Carolina
1972,37,167,Stanly,NC,North Carolina
1973,37,169,Stokes,NC,North Carolina
1974,37,171,Surry,NC,North Carolina
1975,37,173,Swain,NC,North Carolina
1976,37,175,Transylvania,NC,North Carolina
1977,37,177,Tyrrell,NC,North Carolina
1978,37,179,Union,NC,North Carolina
1979,37,181,Vance,NC,North Carolina
1980,37,183,Wake,NC,North Carolina
1981,37,185,Warren,NC,North Carolina
1982,37,187,Washington,NC,North Carolina
1983,37,189,Watauga,NC,North Carolina
1984,37,191,Wayne,NC,North Carolina
1985,37,193,Wilkes,NC,North Carolina
1986,37,195,Wilson,NC,North Carolina
1987,37,197,Yadkin,NC,North Carolina
1988,37,199,Yancey,NC,North Carolina
1989,38,1,Adams,ND,North Dakota
1990,38,3,Barnes,ND,North Dakota
1991,38,5,Benson,ND,North Dakota
1992,38,7,Billings,ND,North Dakota
1993,38,9,Bottineau,ND,North Dakota
1994,38,11,Bowman,ND,North Dakota
1995,38,13,Burke,ND,North Dakota
1996,38,15,Burleigh,ND,North Dakota
1997,38,17,Cass,ND,North Dakota
1998,38,19,Cavalier,ND,North Dakota
1999,38,21,Dickey,ND,North Dakota
2000,38,23,Divide,ND,North Dakota
2001,38,25,Dunn,ND,North Dakota
2002,38,27,Eddy,ND,North Dakota
2003,38,29,Emmons,ND,North Dakota
2004,38,31,Foster,ND,North Dakota
2005,38,33,Golden Valley,ND,North Dakota
2006,38,35,Grand Forks,ND,North Dakota
2007,38,37,Grant,ND,North Dakota
2008,38,39,Griggs,ND,North Dakota
2009,38,41,Hettinger,ND,North Dakota
2010,38,43,Kidder,ND,North Dakota
2011,38,45,LaMoure,ND,North Dakota
2012,38,47,Logan,ND,North Dakota
2013,38,49,McHenry,ND,North Dakota
2014,38,51,McIntosh,ND,North Dakota
2015,38,53,McKenzie,ND,North Dakota
2016,38,55,McLean,ND,North Dakota
2017,38,57,Mercer,ND,North Dakota
2018,38,59,Morton,ND,North Dakota
2019,38,61,Mountrail,ND,North Dakota
2020,38,63,Nelson,ND,North Dakota
2021,38,65,Oliver,ND,North Dakota
2022,38,67,Pembina,ND,North Dakota
2023,38,69,Pierce,ND,North Dakota
2024,38,71,Ramsey,ND,North Dakota
2025,38,73,Ransom,ND,North Dakota
2026,38,75,Renville,ND,North Dakota
2027,38,77,Richland,ND,North Dakota
2028,38,79,Rolette,ND,North Dakota
2029,38,81,Sargent,ND,North Dakota
2030,38,83,Sheridan,ND,North Dakota
2031,38,85,Sioux,ND,North Dakota
2032,38,87,Slope,ND,North Dakota
2033,38,89,Stark,ND,North Dakota
2034,38,91,Steele,ND,North Dakota
2035,38,93,Stutsman,ND,North Dakota
2036,38,95,Towner,ND,North Dakota
2037,38,97,Traill,ND,North Dakota
2038,38,99,Walsh,ND,North Dakota
2039,38,101,Ward,ND,North Dakota
2040,38,103,Wells,ND,North Dakota
2041,38,105,Williams,ND,North Dakota
2042,39,1,Adams,OH,Ohio
2043,39,3,Allen,OH,Ohio
2044,39,5,Ashland,OH,Ohio
2045,39,7,Ashtabula,OH,Ohio
2046,39,9,Athens,OH,Ohio
2047,39,11,Auglaize,OH,Ohio
2048,39,13,Belmont,OH,Ohio
2049,39,15,Brown,OH,Ohio
2050,39,17,Butler,OH,Ohio
2051,39,19,Carroll,OH,Ohio
2052,39,21,Champaign,OH,Ohio
